Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	MaskVol	EstimatedTotalIntraCranialVol
sub-season101	1998.4	1916.0	5836.8	2753.5	743.4	6086.2	7191.0	5346.5	3147.8	10049.0	6197.9	5222.7	4163.4	4668.6	1424.2	4197.1	3577.1	1007.4	3576.4	2778.9	7085.3	3488.4	11226.5	7849.5	1672.0	12345.9	18463.7	11485.1	7219.0	8788.0	505.9	1079.4	820.4	9008.9	2322.6	2348.8	5702.7	2310.6	578.6	5808.5	9258.3	5291.4	2910.0	9755.5	6143.0	5078.9	3998.2	5775.7	1354.6	4738.1	3091.1	1293.7	3121.6	2925.0	8045.8	3912.6	11261.8	8911.8	1554.1	13214.5	14974.2	10426.2	6215.9	8626.5	382.7	831.2	550.9	8146.2	22770.4	23477.5	189766.887165	187478.939275	377245.82644	1932611.0	1381338.856958
sub-season102	2122.6	3470.3	7604.3	3084.1	869.9	7428.4	11509.9	6908.6	4741.1	11036.8	8182.6	5560.4	4642.4	6382.5	1559.9	5238.5	5549.3	1587.5	4131.6	3396.1	7846.3	4915.2	15191.1	11104.1	2542.3	15461.1	20644.8	15157.6	9949.7	9934.2	353.7	904.1	926.9	10777.3	2262.6	2884.2	7307.8	2942.8	830.8	6988.5	14184.1	6354.7	3795.1	10790.5	7705.4	5647.2	4350.0	7198.0	1705.6	6182.7	4267.5	1973.4	4393.3	3871.3	7085.6	4811.7	15188.2	11688.9	1945.1	16172.6	20941.6	13750.8	8478.6	10542.2	384.8	647.3	780.0	10941.6	38912.1	38932.5	246693.867683	246407.8689	493101.736583	2492071.0	1844670.123623
sub-season103	3350.0	2463.1	6483.2	1785.2	834.0	5944.6	10377.4	5032.9	3843.5	8315.5	5458.9	5303.5	4017.1	4138.8	1252.1	3776.4	3747.6	946.4	2899.9	2217.7	7037.2	4088.6	14592.0	7719.8	1973.2	12372.7	18237.0	12033.3	7593.7	10344.1	300.1	762.5	815.0	8111.3	2670.5	2807.3	6786.2	2132.8	543.2	6601.5	11229.6	5082.1	3155.6	9527.9	6745.2	4678.8	3800.2	6003.8	1356.0	3994.6	3501.3	1225.7	3276.2	2091.2	6131.7	3405.7	15321.6	9269.9	1466.8	11076.7	17833.1	12754.0	5764.1	7617.6	463.6	721.4	752.6	7443.8	30030.0	30451.9	202040.09892	202210.323341	404250.42226	2001295.0	1456061.200256
sub-season104	3243.3	2437.4	5934.4	2674.1	840.0	6992.6	9889.9	6476.9	3218.6	9747.1	6628.6	5201.7	3809.5	5566.4	1585.1	3116.8	3597.3	1144.8	2964.3	2902.2	6166.3	3518.8	12256.4	9674.2	1906.1	13871.5	18285.4	13414.4	7940.8	7311.5	378.1	684.6	809.0	8923.2	3537.3	3118.7	5571.0	2848.0	728.0	6253.1	11721.6	5699.0	3432.2	10584.7	6961.0	5992.5	3836.8	6006.9	1409.9	4701.3	2843.0	1488.1	2964.3	2681.8	6166.4	3863.1	12860.2	9441.2	2320.4	11993.4	17687.1	10628.2	6383.9	8532.9	431.0	594.5	439.4	7959.0	31762.1	30537.6	206416.348082	201664.338308	408080.68639	2162020.0	1579786.950392
sub-season105	3374.9	2003.0	4710.7	1789.3	1082.3	5545.4	8562.2	6227.4	3122.7	6825.6	5387.5	5288.5	3351.8	4417.8	1338.1	3577.7	2653.5	948.0	2987.5	2238.3	6097.0	3405.7	11570.3	9334.7	1899.1	11431.8	16380.2	14306.6	8402.3	10284.6	378.3	499.8	757.7	9854.9	3609.1	2580.0	4103.8	1890.0	690.9	5578.4	11271.3	5351.7	2678.9	7887.1	4932.7	5066.5	3426.8	5296.1	1627.9	4919.5	3474.2	1000.8	2940.6	2382.8	6179.6	3781.8	12340.3	8824.9	1607.2	10683.6	16041.4	11774.5	7993.7	10112.4	368.7	620.7	753.3	9340.3	21339.7	22023.0	182911.586579	184023.419212	366935.005791	2096282.0	1562659.338937
sub-season106	2439.9	2563.3	6787.7	2027.3	891.0	6434.9	9643.1	5017.8	3229.7	9191.2	6767.7	4866.4	3983.4	5211.6	1336.2	4066.3	3606.1	997.3	2698.2	2446.6	7282.7	4774.3	11980.9	8604.3	1964.1	12200.1	17009.9	12229.3	7304.5	6551.2	258.5	810.8	736.4	8074.3	2638.2	3160.3	5261.6	2143.3	748.8	5616.4	11254.2	5943.4	3426.2	8306.0	6769.6	5278.8	3717.7	5413.5	1262.0	4555.8	3302.7	1202.0	3698.5	2892.1	7076.5	3808.4	12528.5	8790.7	2062.2	12241.9	16783.4	11409.1	5887.1	7680.2	315.6	890.5	520.2	8016.2	25955.9	25168.4	195015.946642	193183.978316	388199.924958	2032233.0	1491867.942883
sub-season107	3822.7	2851.2	6011.4	2524.9	1073.7	6034.4	11603.1	5768.7	3989.3	10041.7	7042.2	5270.5	4241.9	6135.3	1568.4	4379.4	3122.7	1120.0	3082.2	3643.3	7804.0	4779.8	13709.2	8880.0	2859.7	15486.9	21053.0	9788.3	7487.5	8886.3	423.5	719.5	889.4	9570.7	2656.0	2917.4	5696.7	2238.1	1012.7	5979.4	12934.8	6900.9	3469.2	8992.2	7543.5	5467.3	4460.4	6602.0	1314.8	5355.1	3081.5	1593.1	3452.0	2567.4	8074.2	4407.1	13905.3	9928.5	1899.4	14855.2	20328.8	10763.5	6926.9	9035.7	434.0	734.5	647.8	9120.4	29535.9	30100.3	219166.526224	219321.459841	438487.986065	2183874.0	1531825.373854
sub-season108	2514.6	1986.5	7189.1	2351.2	912.8	5551.4	8421.0	5797.3	3491.8	9740.8	6097.0	5615.0	4157.3	5389.1	1359.0	4020.2	2636.8	982.5	2932.6	3218.1	6236.9	3361.1	11274.3	7318.1	1875.4	12168.9	18888.1	11252.7	5871.9	6528.4	553.7	922.9	851.6	8279.1	2863.4	2012.1	6149.3	2326.5	741.3	5322.3	11550.0	5468.1	3321.7	9889.0	6238.3	5949.7	3674.7	5865.4	1282.3	4418.6	2653.1	1097.4	2733.9	3236.5	5948.1	3639.1	11567.8	7845.0	1737.2	11946.5	17435.7	11158.3	5536.7	5896.5	681.7	858.4	656.6	8015.6	25253.4	26466.0	187556.000878	190603.537174	378159.538052	1975650.0	1440808.605024
sub-season109	3084.8	3374.4	8145.2	2789.1	700.8	7200.1	12742.6	8055.8	4505.8	12509.1	7948.9	6080.1	5166.2	7931.7	1638.0	3705.0	4370.7	1236.9	3531.9	3801.8	7915.8	5421.2	15433.2	10777.8	2298.1	14254.2	20210.4	12562.3	9143.9	10067.9	370.8	719.7	880.1	10369.0	3378.4	2816.4	7574.8	3352.9	653.7	6451.2	16554.1	7213.2	4330.5	12472.9	7328.1	6374.1	4384.5	8790.7	2296.1	5192.9	4301.1	1397.5	4269.6	3706.0	8002.6	4333.8	14427.4	11210.4	2181.4	15954.4	18838.3	12382.0	7289.1	8524.4	404.3	719.4	774.0	11481.6	42854.6	41495.3	249539.018325	248674.776707	498213.795032	2622692.0	1955159.142595
sub-season110	4035.1	2686.1	6476.7	2207.2	704.9	5839.5	9109.2	4853.3	3972.9	8118.0	5550.1	5218.1	4464.3	4716.1	1319.0	3775.4	2998.9	836.1	2417.1	3537.9	6449.2	3802.2	11926.2	11681.9	2126.4	12737.8	17323.0	12463.9	6587.4	8151.6	375.7	869.7	845.7	7864.4	2983.1	2929.4	6653.2	2384.4	638.5	5725.8	11740.1	4601.3	3414.5	9054.3	5326.6	5269.7	3725.4	5640.7	1289.8	5231.6	3004.2	951.2	2816.4	3459.7	6177.5	4174.8	13080.5	10200.8	1812.3	11340.6	17792.6	11784.4	6043.0	7877.5	362.9	641.0	571.1	7970.3	25740.8	25676.4	195073.89685	195705.321818	390779.218667	2135305.0	1526380.723924
