rh.aparc.a2009s.volume	rh_G&S_frontomargin_volume	rh_G&S_occipital_inf_volume	rh_G&S_paracentral_volume	rh_G&S_subcentral_volume	rh_G&S_transv_frontopol_volume	rh_G&S_cingul-Ant_volume	rh_G&S_cingul-Mid-Ant_volume	rh_G&S_cingul-Mid-Post_volume	rh_G_cingul-Post-dorsal_volume	rh_G_cingul-Post-ventral_volume	rh_G_cuneus_volume	rh_G_front_inf-Opercular_volume	rh_G_front_inf-Orbital_volume	rh_G_front_inf-Triangul_volume	rh_G_front_middle_volume	rh_G_front_sup_volume	rh_G_Ins_lg&S_cent_ins_volume	rh_G_insular_short_volume	rh_G_occipital_middle_volume	rh_G_occipital_sup_volume	rh_G_oc-temp_lat-fusifor_volume	rh_G_oc-temp_med-Lingual_volume	rh_G_oc-temp_med-Parahip_volume	rh_G_orbital_volume	rh_G_pariet_inf-Angular_volume	rh_G_pariet_inf-Supramar_volume	rh_G_parietal_sup_volume	rh_G_postcentral_volume	rh_G_precentral_volume	rh_G_precuneus_volume	rh_G_rectus_volume	rh_G_subcallosal_volume	rh_G_temp_sup-G_T_transv_volume	rh_G_temp_sup-Lateral_volume	rh_G_temp_sup-Plan_polar_volume	rh_G_temp_sup-Plan_tempo_volume	rh_G_temporal_inf_volume	rh_G_temporal_middle_volume	rh_Lat_Fis-ant-Horizont_volume	rh_Lat_Fis-ant-Vertical_volume	rh_Lat_Fis-post_volume	rh_Pole_occipital_volume	rh_Pole_temporal_volume	rh_S_calcarine_volume	rh_S_central_volume	rh_S_cingul-Marginalis_volume	rh_S_circular_insula_ant_volume	rh_S_circular_insula_inf_volume	rh_S_circular_insula_sup_volume	rh_S_collat_transv_ant_volume	rh_S_collat_transv_post_volume	rh_S_front_inf_volume	rh_S_front_middle_volume	rh_S_front_sup_volume	rh_S_interm_prim-Jensen_volume	rh_S_intrapariet&P_trans_volume	rh_S_oc_middle&Lunatus_volume	rh_S_oc_sup&transversal_volume	rh_S_occipital_ant_volume	rh_S_oc-temp_lat_volume	rh_S_oc-temp_med&Lingual_volume	rh_S_orbital_lateral_volume	rh_S_orbital_med-olfact_volume	rh_S_orbital-H_Shaped_volume	rh_S_parieto_occipital_volume	rh_S_pericallosal_volume	rh_S_postcentral_volume	rh_S_precentral-inf-part_volume	rh_S_precentral-sup-part_volume	rh_S_suborbital_volume	rh_S_subparietal_volume	rh_S_temporal_inf_volume	rh_S_temporal_sup_volume	rh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-season125	1735.0	3671.0	3384.0	3618.0	3488.0	7074.0	3119.0	3325.0	1539.0	673.0	3538.0	4339.0	1623.0	2769.0	12517.0	19775.0	1791.0	2611.0	6978.0	4037.0	6517.0	6246.0	3525.0	7971.0	7863.0	7017.0	6638.0	4504.0	6941.0	7591.0	2381.0	1003.0	1095.0	6319.0	2922.0	2151.0	7809.0	10003.0	637.0	458.0	2373.0	6324.0	7166.0	2999.0	3482.0	2056.0	961.0	1957.0	2590.0	1808.0	616.0	3262.0	4969.0	4369.0	820.0	4070.0	1656.0	2253.0	1244.0	2531.0	3491.0	597.0	1208.0	2413.0	3996.0	918.0	3617.0	2913.0	2049.0	888.0	2332.0	1859.0	12758.0	479.0	1832870.0	1608718.911125
sub-season126	1880.0	2500.0	3702.0	4237.0	3212.0	5821.0	2923.0	2608.0	1858.0	796.0	3520.0	3305.0	1210.0	1503.0	13145.0	19067.0	1728.0	2479.0	4323.0	2339.0	4363.0	6610.0	3583.0	8410.0	9233.0	6469.0	4694.0	4336.0	7520.0	6632.0	1946.0	1100.0	733.0	4848.0	2400.0	1866.0	8340.0	8391.0	319.0	355.0	2260.0	5474.0	6788.0	2723.0	4083.0	2264.0	910.0	1583.0	1963.0	1797.0	830.0	3142.0	3333.0	3574.0	594.0	5463.0	1123.0	1542.0	621.0	1608.0	3421.0	669.0	940.0	2963.0	3398.0	974.0	3945.0	2607.0	3162.0	502.0	2448.0	1895.0	10610.0	389.0	1740868.0	1664326.550661
sub-season127	2431.0	2647.0	2973.0	3573.0	3702.0	7467.0	3467.0	3226.0	2153.0	917.0	4318.0	3858.0	1512.0	2117.0	14039.0	21420.0	1695.0	2416.0	6153.0	3196.0	6833.0	6788.0	3180.0	8804.0	9328.0	5700.0	5676.0	4757.0	8220.0	6631.0	2438.0	973.0	1420.0	6563.0	2805.0	1647.0	9051.0	10147.0	638.0	732.0	2364.0	6214.0	7022.0	3379.0	4093.0	2194.0	1306.0	1625.0	2606.0	1494.0	723.0	2960.0	3879.0	4656.0	517.0	5251.0	1380.0	2148.0	1608.0	1770.0	3486.0	1256.0	990.0	3149.0	3852.0	1309.0	4534.0	3165.0	1783.0	352.0	1485.0	2654.0	12753.0	601.0	1922793.0	1788638.710277
sub-season128	2001.0	3276.0	3113.0	3651.0	3043.0	5965.0	2669.0	2371.0	1812.0	900.0	4181.0	3749.0	1373.0	2744.0	9125.0	19137.0	1895.0	2355.0	5763.0	2453.0	4939.0	6606.0	3894.0	7042.0	7789.0	6410.0	4910.0	4950.0	6889.0	6368.0	2309.0	1134.0	1246.0	4435.0	2142.0	1531.0	7928.0	8767.0	664.0	585.0	2253.0	4569.0	5601.0	3587.0	4071.0	1735.0	1041.0	1837.0	1944.0	2539.0	620.0	2727.0	3147.0	4381.0	415.0	4058.0	1294.0	2019.0	1554.0	1754.0	2677.0	549.0	1077.0	2416.0	3882.0	1064.0	4113.0	2511.0	2685.0	385.0	1991.0	2168.0	9393.0	386.0	1698582.0	1630272.864062
sub-season129	2100.0	2792.0	2714.0	3127.0	2925.0	5956.0	2708.0	3075.0	1693.0	693.0	3507.0	4316.0	1291.0	2015.0	9362.0	20580.0	1668.0	2618.0	6032.0	3306.0	5158.0	4716.0	3573.0	8171.0	8234.0	6352.0	4856.0	3995.0	6566.0	5118.0	1613.0	689.0	1170.0	5544.0	2352.0	1755.0	7253.0	9486.0	466.0	486.0	2293.0	4619.0	7070.0	3275.0	3427.0	2162.0	1183.0	2199.0	2430.0	2303.0	450.0	3368.0	3205.0	3544.0	655.0	4382.0	920.0	2061.0	1054.0	1374.0	3133.0	464.0	843.0	2107.0	2813.0	1070.0	2803.0	2510.0	1725.0	387.0	1669.0	1805.0	11061.0	461.0	1648872.0	1500330.289239
sub-season130	2447.0	3644.0	3118.0	3345.0	2489.0	5936.0	3383.0	3336.0	1893.0	996.0	4255.0	4140.0	1107.0	2833.0	10190.0	19535.0	2019.0	3680.0	7197.0	3460.0	6145.0	5177.0	4179.0	9592.0	9261.0	4881.0	4673.0	3735.0	7479.0	6810.0	1937.0	470.0	880.0	5822.0	2679.0	1686.0	7459.0	10528.0	620.0	433.0	2152.0	6440.0	5968.0	3333.0	4467.0	2325.0	1254.0	1990.0	2605.0	1580.0	676.0	3029.0	2986.0	3942.0	586.0	5354.0	1325.0	2155.0	1690.0	2199.0	4081.0	1025.0	791.0	2763.0	3450.0	1512.0	2295.0	2526.0	2130.0	511.0	1823.0	2162.0	11909.0	279.0	1776542.0	1550210.219428
sub-season131	2532.0	3366.0	2942.0	3812.0	2806.0	6135.0	3160.0	2925.0	1454.0	602.0	3183.0	3986.0	1472.0	3033.0	11451.0	19325.0	1700.0	2392.0	5079.0	2884.0	5510.0	6694.0	5136.0	9285.0	9053.0	5310.0	4876.0	3647.0	7348.0	6578.0	2443.0	433.0	1097.0	5720.0	2459.0	2287.0	7745.0	10414.0	568.0	429.0	2404.0	5550.0	6379.0	3621.0	3630.0	1966.0	950.0	1970.0	1828.0	1936.0	468.0	4777.0	3283.0	3856.0	491.0	4608.0	1164.0	2195.0	1160.0	1827.0	3380.0	840.0	1131.0	2859.0	3228.0	886.0	3527.0	3364.0	2346.0	724.0	1658.0	2198.0	13591.0	519.0	1924837.0	1769658.917433
sub-season132	1942.0	2006.0	2365.0	3010.0	2555.0	4757.0	2312.0	2352.0	1522.0	625.0	3508.0	3585.0	1055.0	2612.0	10275.0	16503.0	1565.0	1955.0	4278.0	2573.0	4775.0	5122.0	3708.0	6732.0	7486.0	5995.0	5049.0	3605.0	5835.0	5356.0	2055.0	591.0	1031.0	5340.0	2094.0	1809.0	5912.0	7312.0	599.0	599.0	2496.0	4820.0	6562.0	2509.0	3187.0	1406.0	714.0	1849.0	2202.0	1291.0	938.0	2537.0	3224.0	3516.0	654.0	4069.0	869.0	1355.0	1026.0	1444.0	2824.0	468.0	985.0	2025.0	4171.0	1016.0	3254.0	2390.0	2053.0	482.0	2075.0	1373.0	9689.0	576.0	1468198.0	1438778.843677
sub-season133	2707.0	2119.0	3222.0	3183.0	3196.0	6727.0	3324.0	3693.0	1616.0	810.0	3338.0	3716.0	1265.0	2032.0	9682.0	21381.0	1582.0	2431.0	5105.0	2930.0	4954.0	4900.0	4000.0	8379.0	8044.0	5165.0	5767.0	4803.0	7123.0	6478.0	2010.0	659.0	1022.0	5398.0	2227.0	2275.0	5850.0	8242.0	931.0	405.0	2492.0	4470.0	5966.0	3146.0	4382.0	1852.0	1181.0	1654.0	2356.0	1961.0	498.0	3414.0	4204.0	5233.0	545.0	5137.0	952.0	1969.0	873.0	1576.0	2610.0	795.0	1011.0	2225.0	3415.0	991.0	3299.0	2861.0	1703.0	657.0	1686.0	1837.0	11240.0	447.0	1720390.0	1525111.068804
sub-season134	1906.0	5028.0	3235.0	4730.0	2798.0	7398.0	3530.0	3275.0	1894.0	952.0	3733.0	5207.0	752.0	3103.0	12714.0	21502.0	1848.0	2946.0	6252.0	2479.0	5111.0	5961.0	6270.0	10021.0	9083.0	7522.0	5625.0	4537.0	8106.0	5800.0	2707.0	1177.0	1260.0	6207.0	3063.0	2144.0	8328.0	11160.0	910.0	782.0	2652.0	6314.0	5697.0	3253.0	3974.0	2084.0	1036.0	2535.0	3094.0	2403.0	896.0	4179.0	3701.0	5457.0	418.0	6204.0	1195.0	1574.0	1677.0	1329.0	3511.0	710.0	1045.0	3228.0	3969.0	1688.0	4055.0	4461.0	1925.0	473.0	2881.0	2962.0	12838.0	654.0	1889041.0	1801835.406833
