rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	825.0	940.0	933.0	1160.0	843.0	1746.0	847.0	925.0	284.0	167.0	1375.0	789.0	332.0	637.0	3018.0	4212.0	384.0	383.0	1318.0	1038.0	1318.0	1622.0	731.0	1898.0	1845.0	1675.0	1656.0	1548.0	1365.0	1953.0	556.0	239.0	268.0	997.0	549.0	649.0	1556.0	1657.0	221.0	227.0	1066.0	2303.0	1365.0	1714.0	2052.0	1018.0	427.0	654.0	984.0	562.0	199.0	1498.0	1429.0	1959.0	365.0	1789.0	586.0	724.0	355.0	757.0	1358.0	313.0	348.0	750.0	1237.0	808.0	1893.0	1166.0	811.0	146.0	701.0	842.0	3983.0	243.0	81092.3	1564505.0	1381338.856958
sub-season102	660.0	797.0	993.0	1035.0	868.0	2005.0	920.0	966.0	453.0	193.0	1491.0	1145.0	340.0	794.0	3144.0	4919.0	388.0	523.0	1584.0	1430.0	1464.0	2079.0	989.0	2017.0	2481.0	2170.0	1760.0	1154.0	1682.0	2145.0	575.0	431.0	374.0	1540.0	603.0	593.0	1752.0	2059.0	301.0	234.0	1067.0	2378.0	1226.0	1742.0	2049.0	1076.0	438.0	816.0	946.0	890.0	254.0	1766.0	1935.0	2492.0	406.0	2947.0	755.0	1224.0	392.0	941.0	1435.0	392.0	493.0	1161.0	1610.0	1056.0	1314.0	1376.0	1058.0	229.0	1003.0	1008.0	4867.0	306.0	94099.7	2019594.0	1844670.123623
sub-season103	696.0	1062.0	798.0	843.0	744.0	1738.0	905.0	912.0	351.0	166.0	1048.0	830.0	274.0	611.0	2392.0	4786.0	342.0	380.0	1358.0	849.0	1190.0	1411.0	690.0	1693.0	1837.0	1399.0	1862.0	1051.0	1903.0	1554.0	387.0	204.0	252.0	934.0	504.0	490.0	1348.0	1624.0	296.0	186.0	915.0	2061.0	1080.0	1047.0	2052.0	653.0	291.0	654.0	919.0	755.0	267.0	1219.0	1293.0	2016.0	239.0	2188.0	330.0	1014.0	417.0	582.0	1052.0	235.0	276.0	1000.0	1232.0	741.0	1425.0	1424.0	1117.0	175.0	915.0	829.0	3871.0	203.0	76385.6	1610298.0	1456061.200256
sub-season104	665.0	1151.0	723.0	959.0	793.0	2061.0	1039.0	833.0	271.0	206.0	1604.0	730.0	246.0	507.0	2714.0	4520.0	498.0	396.0	1737.0	1036.0	1085.0	2087.0	916.0	1896.0	2137.0	1677.0	1660.0	1241.0	1451.0	1817.0	517.0	370.0	264.0	1212.0	474.0	456.0	1537.0	2103.0	288.0	172.0	905.0	2155.0	1185.0	1492.0	1838.0	830.0	302.0	820.0	984.0	837.0	311.0	1401.0	1207.0	1453.0	399.0	2026.0	605.0	949.0	574.0	476.0	1384.0	343.0	444.0	943.0	1599.0	853.0	1472.0	1004.0	1059.0	284.0	634.0	984.0	4160.0	177.0	82137.7	1759065.0	1579786.950392
sub-season105	708.0	898.0	970.0	1016.0	761.0	1544.0	1066.0	971.0	262.0	181.0	1263.0	1112.0	334.0	451.0	2342.0	4575.0	419.0	428.0	1243.0	766.0	1404.0	1877.0	846.0	1602.0	2081.0	2311.0	1807.0	1121.0	1572.0	1714.0	478.0	350.0	389.0	1575.0	596.0	697.0	1459.0	1803.0	261.0	136.0	1113.0	2081.0	1424.0	1437.0	1786.0	1022.0	297.0	791.0	1067.0	522.0	295.0	1145.0	1537.0	1829.0	537.0	2968.0	433.0	1040.0	504.0	768.0	1643.0	255.0	405.0	687.0	1369.0	535.0	1805.0	1311.0	889.0	220.0	854.0	901.0	4473.0	285.0	83616.2	1659168.0	1562659.338937
sub-season106	618.0	780.0	892.0	961.0	725.0	2102.0	1026.0	1000.0	437.0	166.0	1295.0	1008.0	220.0	694.0	2918.0	4049.0	293.0	466.0	1048.0	874.0	1240.0	1638.0	833.0	1827.0	2165.0	1783.0	1751.0	1224.0	1548.0	1655.0	527.0	270.0	293.0	987.0	641.0	556.0	1655.0	1860.0	286.0	291.0	1036.0	1955.0	1277.0	1348.0	1806.0	723.0	361.0	706.0	963.0	883.0	350.0	1322.0	1598.0	1561.0	127.0	2495.0	455.0	783.0	548.0	700.0	1206.0	265.0	398.0	1003.0	1274.0	973.0	1782.0	909.0	1213.0	203.0	1080.0	791.0	4273.0	200.0	81168.7	1628347.0	1491867.942883
sub-season107	762.0	692.0	962.0	1047.0	934.0	2018.0	1085.0	1015.0	358.0	183.0	1246.0	983.0	319.0	614.0	3023.0	5095.0	431.0	604.0	1451.0	871.0	1148.0	1766.0	1092.0	1833.0	2097.0	1854.0	1445.0	1335.0	1608.0	1644.0	545.0	355.0	249.0	1194.0	556.0	575.0	1526.0	1890.0	295.0	148.0	931.0	2049.0	1158.0	1355.0	2093.0	977.0	446.0	930.0	1089.0	821.0	245.0	1180.0	1326.0	1873.0	366.0	2142.0	724.0	1023.0	422.0	885.0	1411.0	326.0	445.0	937.0	1431.0	921.0	1741.0	989.0	1015.0	184.0	834.0	860.0	4584.0	168.0	84726.6	1782750.0	1531825.373854
sub-season108	898.0	874.0	899.0	868.0	1260.0	1776.0	813.0	800.0	357.0	188.0	1305.0	815.0	256.0	500.0	2322.0	5165.0	406.0	600.0	1557.0	911.0	1041.0	1903.0	714.0	1772.0	2068.0	1380.0	1700.0	1048.0	1516.0	1587.0	569.0	77.0	246.0	1059.0	608.0	413.0	1428.0	1817.0	245.0	173.0	927.0	2580.0	1605.0	1567.0	1988.0	781.0	338.0	883.0	808.0	683.0	413.0	1250.0	1511.0	1845.0	144.0	2453.0	580.0	811.0	438.0	580.0	1039.0	239.0	452.0	854.0	1364.0	749.0	1342.0	1296.0	693.0	289.0	807.0	1029.0	4208.0	148.0	80630.1	1592943.0	1440808.605024
sub-season109	714.0	1019.0	932.0	952.0	731.0	2194.0	937.0	949.0	479.0	237.0	1750.0	1286.0	255.0	824.0	3415.0	4396.0	430.0	749.0	1922.0	1209.0	1203.0	1961.0	821.0	2089.0	2849.0	1799.0	1377.0	1441.0	1792.0	1921.0	600.0	483.0	272.0	1402.0	748.0	567.0	2134.0	2753.0	364.0	301.0	905.0	2291.0	1411.0	1811.0	2253.0	978.0	470.0	887.0	1127.0	622.0	434.0	1980.0	1692.0	2211.0	257.0	2338.0	699.0	1123.0	842.0	857.0	1834.0	497.0	487.0	983.0	1956.0	908.0	1771.0	1349.0	988.0	332.0	996.0	1629.0	6065.0	165.0	97404.1	2127492.0	1955159.142595
sub-season110	635.0	1052.0	933.0	923.0	832.0	1836.0	1043.0	1075.0	390.0	214.0	1387.0	784.0	205.0	506.0	3024.0	4846.0	339.0	407.0	1436.0	977.0	1230.0	1821.0	734.0	1658.0	2315.0	1480.0	1957.0	1185.0	1653.0	1966.0	409.0	130.0	289.0	1214.0	484.0	449.0	1460.0	1852.0	319.0	180.0	973.0	2351.0	1246.0	1834.0	1979.0	890.0	344.0	808.0	937.0	814.0	335.0	1387.0	1325.0	1998.0	188.0	2647.0	630.0	818.0	485.0	682.0	1353.0	251.0	321.0	862.0	1487.0	883.0	1666.0	1341.0	937.0	226.0	1117.0	942.0	4420.0	218.0	84321.6	1732844.0	1526380.723924
