lh.aparc.DKTatlas.area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-season101	905.0	2229.0	2171.0	357.0	2457.0	3229.0	2970.0	791.0	5137.0	2646.0	2973.0	1559.0	3600.0	692.0	1904.0	1622.0	802.0	1815.0	1187.0	4590.0	1284.0	4295.0	3411.0	744.0	4262.0	8700.0	3997.0	4904.0	3897.0	459.0	2025.0	81611.7	1564505.0	1381338.856958
sub-season102	1145.0	2780.0	2335.0	425.0	3065.0	4919.0	3522.0	1123.0	5543.0	3167.0	3206.0	1817.0	4633.0	706.0	1786.0	1999.0	881.0	2265.0	1546.0	4635.0	1407.0	5139.0	4286.0	1110.0	4688.0	8474.0	4851.0	5844.0	3974.0	605.0	2095.0	93975.4	2019594.0	1844670.123623
sub-season103	1076.0	2381.0	1355.0	373.0	2157.0	4046.0	2674.0	971.0	4223.0	2326.0	2805.0	1315.0	3567.0	547.0	1431.0	1477.0	602.0	1551.0	853.0	4177.0	1166.0	4959.0	2969.0	898.0	3750.0	7682.0	4134.0	4767.0	3990.0	425.0	1847.0	76495.8	1610298.0	1456061.200256
sub-season104	928.0	1940.0	2151.0	465.0	2808.0	4431.0	3282.0	744.0	5290.0	2957.0	2957.0	1658.0	4206.0	684.0	1398.0	1544.0	678.0	1441.0	1130.0	4167.0	1092.0	4321.0	3666.0	952.0	4409.0	7745.0	4918.0	5072.0	3250.0	494.0	1801.0	82580.3	1759065.0	1579786.950392
sub-season105	987.0	1694.0	1839.0	456.0	2682.0	4330.0	3530.0	865.0	4062.0	2527.0	2887.0	1379.0	3914.0	682.0	1559.0	1311.0	708.0	1588.0	1178.0	4283.0	1022.0	4629.0	3929.0	902.0	4004.0	7789.0	5560.0	5464.0	4843.0	567.0	1924.0	83094.9	1659168.0	1562659.338937
sub-season106	1025.0	2760.0	1633.0	411.0	3089.0	4654.0	2971.0	824.0	4712.0	2961.0	2843.0	1502.0	4066.0	666.0	1717.0	1563.0	668.0	1471.0	1069.0	4629.0	1416.0	4268.0	3386.0	1002.0	4229.0	7348.0	4624.0	4881.0	3034.0	458.0	1689.0	81569.1	1628347.0	1491867.942883
sub-season107	1249.0	1992.0	1861.0	475.0	2429.0	4966.0	2978.0	1056.0	4805.0	3137.0	2856.0	1697.0	4147.0	666.0	1730.0	1371.0	751.0	1533.0	1345.0	4650.0	1488.0	4526.0	3402.0	1259.0	4179.0	8635.0	3539.0	5355.0	3322.0	419.0	2021.0	83838.6	1782750.0	1531825.373854
sub-season108	839.0	2637.0	1737.0	405.0	2228.0	4112.0	3219.0	929.0	4965.0	2872.0	3274.0	1763.0	4109.0	589.0	1619.0	1276.0	648.0	1487.0	1374.0	4227.0	1152.0	4331.0	3104.0	774.0	3960.0	8552.0	3871.0	4535.0	2699.0	548.0	1901.0	79734.9	1592943.0	1440808.605024
sub-season109	1320.0	3059.0	2112.0	359.0	3189.0	5496.0	4122.0	1167.0	6316.0	3154.0	3413.0	1668.0	5540.0	737.0	1411.0	1806.0	847.0	1873.0	1608.0	4976.0	1633.0	5582.0	4015.0	1109.0	4659.0	8480.0	4305.0	5835.0	4266.0	522.0	2138.0	96715.2	2127492.0	1955159.142595
sub-season110	1028.0	2599.0	1881.0	394.0	2484.0	4483.0	3209.0	978.0	4627.0	2534.0	3296.0	1565.0	4220.0	651.0	1556.0	1408.0	617.0	1418.0	1630.0	4331.0	1184.0	4374.0	4756.0	1051.0	4458.0	7796.0	5262.0	5162.0	3646.0	482.0	1737.0	84821.1	1732844.0	1526380.723924
